 9.0   1.6 
17.5  -42.4 
 9.5   7.5 
 7.5  27.1 
10.0  -4.0 
11.0  -18.9 
12.0  -11.0 
17.0  -34.3 
10.5  -6.0 
14.5  -19.9 
10.0  -10.3 
14.0  -9.1 
10.5  -7.3 
14.0  -27.9 
13.0  -14.8 
12.0  -16.9 
 5.5  85.5 
10.0   2.6 
15.5  -24.5 
17.5  -31.0 
11.0  -8.9 
17.0  -39.1 
17.0  -24.0 
16.5  -25.8 
 6.0  71.5 
 7.5  21.6 
10.5  -3.9 
15.0  -17.4 
 9.5  -5.2 
12.5  -11.0 
15.0  -17.7 
12.5  -12.5 
14.5  -15.4 
10.0  -8.4 
14.5  -25.2 
14.0  -21.2 
10.0  -12.2 
16.5  -30.9 
13.0  -11.6 
 9.5  -0.2 
